task,LR (tuned + ensemble),RF (tuned + ensemble),XT (tuned + ensemble),CAT (tuned + ensemble),GBM (tuned + ensemble),XGB (tuned + ensemble),TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),TA-TABDPT (default),TA-TABPFN-2.6 (default),TA-TABICLv2 (default)
polish_companies_bankruptcy-c6e7be38cb09,1.0,0.4537618817464159,0.9740615434187204,0.23485580795875716,0.24730143386499184,0.2454486869663291,0.2165700016110851,0.17339294345094264,0.21681166425003948,0.0,0.034638311583697255
predict_students_dropout_and_academic_su-60806510bdda,0.5129766648785014,1.0,0.8862869521116784,0.1737740862712559,0.09115152702578369,0.3782805983681463,0.11481945212937283,0.19414637594583634,0.6933677173771023,0.07894086300460983,0.0
prostate_cancer_detection-d59b58af2363,0.3545725418290159,0.30124054549621776,0.14100103140041206,0.19570822828329035,0.1397404308961718,0.30379039651615775,0.18211379784551862,0.31350275040109954,0.3546011918404766,0.0,1.0
pva_revenue_prediction_kddcup98-94a4b79d0042,1.0,0.427953339636317,0.37600345521526324,0.03281781405282991,0.0,0.03046884105075186,0.1515462150622213,0.20761368898450774,0.7875896445752684,0.6437481108186751,0.7724057684145735
qsar_aquatic_toxicity-96e503f00d74,1.0,0.5237409299343831,0.2740333282904967,0.3111890052212512,0.5547632078110564,0.5459902190215034,0.23790765922200724,0.4998035361064171,0.0,0.004386033641727778,0.08135017959994804
qsar_biodeg-99edbe20f66b,1.0,0.46143960024086494,0.22982555474669422,0.37578377536316876,0.281676807439167,0.3016857349139202,0.24562838337812404,0.18386403875363252,0.2014958013906531,0.19024808194103854,0.0
qsar_fish_toxicity-7d92081eed10,1.0,0.35487865306041577,0.16470271054524296,0.292723901892719,0.3575184869579572,0.3302376778311877,0.06705493948110257,0.5066545492788863,0.0,0.07110068091247922,0.02093439780299613
qsar_tid_11-34170685abe8,1.0,0.27021876860659716,0.20192855342350793,0.13008074089887817,0.014951128201933827,0.037597522935835834,0.0069987059622999455,0.04297770354046779,0.07386117730504661,0.0,0.3729569806556449
regensburg_pediatric_appendicitis-e7c24901d0c7,0.5559614550639859,0.4702717403288531,0.48647178590066936,0.4952039338767661,0.2804136744849301,0.545568140890415,0.4814882873082509,0.6914126527942152,1.0,0.0883872722328007,0.0
santander_customer_satisfaction-504299481d76,0.8080508099264831,0.23649868219010017,0.5043843881394866,0.056701180558189804,0.05657836856548806,0.03870215263371963,0.0336921676465565,0.007443151072889712,0.859136877315283,0.0,1.0
santander_transaction_value-46443292502e,0.5789698730908853,0.05442374255330471,0.09402015241378567,0.08941274864179677,0.0840980513181274,0.038019884706259235,0.12389955760225353,0.21721019495488458,1.0,0.0,0.00022439971962578473
sat11_hand_algo_runtime-cda3af888024,1.0,0.1683765458892597,0.06545433988347055,0.0822311223669556,0.06382311291627368,0.13017289329840961,0.15333216623605275,0.09511254903474378,0.38566570513463605,0.0,0.17121101887715212
sberbank_housing_market_forecasting-54316cfd1a18,0.5052426642644366,0.543602181130126,0.3425886519583871,0.25380161145613805,0.13988147189547748,0.1107326580353372,0.04947016508897949,0.26235229544558203,0.2586142415794823,0.0,1.0
sdss_17-3d9b16fdea21,1.0,0.12706012379541545,0.1884690485566896,0.07667471050546072,0.22624502658943343,0.06180092611438622,0.2680965243924218,0.2452243255295757,0.25426859031226473,0.0,0.0128463165841289
seismic_bumps-9636045db12f,1.0,0.7286939757324746,0.3689805493914509,0.3588629578466389,0.5883026932301364,0.31997430424682677,0.756734340281035,0.5996633294451308,0.18229345817563344,0.0,0.0870730319274079
sepsis_survival_minimal_clinical_records-225532acc0df,0.2776479548759885,0.2462090224098105,0.1687641347495192,0.027005317259743845,0.008494389427279357,0.12372391752119234,0.0,0.009954968334178556,0.3253482272095281,0.07892656001743541,1.0
sf_permit_time-a3faf4c318ef,0.659506092135078,0.30765861139646966,0.42939294367926145,0.08794629318457255,0.09300678540282098,0.0974513728640402,0.26114435793457597,0.9982504052366523,1.0,0.0,0.299612760951257
south_africa_coronary_heart_disease-0e8d7cd42b03,0.0,1.0,0.38959817376015266,0.5056497067245209,0.28489265238930234,0.9325052613888545,0.37902752473457746,0.4406417302935054,0.06949807687166168,0.2858673939032851,0.032521939959694185
splice-0b61e96684a9,0.3848907517838068,0.7686060051039855,0.6759284683683418,0.13215415368317418,0.08604074997036934,0.09222066510007818,0.09728588016439092,0.13779952680685723,1.0,0.032812297629879555,0.0
student_portuguese_performance-3bb888dc8310,1.0,0.32047569602502296,0.1814554799318044,0.495325336941314,0.284063316216404,0.6311101438240632,0.361677748275956,0.23371020189630673,0.0,0.2309687291193287,0.09791881325988562
superconductivity-f6f2e1d679cc,1.0,0.0775868559894514,0.06557930833355138,0.06209178557720911,0.05129796326885976,0.06050178661422631,0.05832285733133282,0.0503723628021283,0.019882827771765386,0.034332699728154385,0.0
taiwanese_bankruptcy_prediction-e1d1c0962bcb,0.7836056213885898,1.0,0.7143056390825303,0.31075140148503944,0.22359155477451254,0.29923552306723233,0.25704369275633576,0.3022622630954615,0.4753063140750447,0.0,0.16923965106099279
