task,LR (tuned + ensemble),RF (tuned + ensemble),XT (tuned + ensemble),CAT (tuned + ensemble),GBM (tuned + ensemble),XGB (tuned + ensemble),TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),TA-TABICLv2 (default)
naticusdroid_android_permissions_dataset-c7f072cebb01,0.875,1.0,0.75,0.125,0.5,0.625,0.25,0.375,0.0
obesity_estimation-37bb57808420,0.5,0.625,0.75,0.875,0.125,1.0,0.375,0.25,0.0
online_shoppers_purchasing_intention_dat-7c9d5262e1c0,1.0,0.875,0.75,0.625,0.375,0.25,0.5,0.125,0.0
otto_group_product_classification_challe-08decc7aebcb,1.0,0.875,0.75,0.625,0.375,0.5,0.25,0.125,0.0
pancreatic_cancer_mouse_detection-bebbbfb72cb4,0.0,0.75,0.25,0.5,0.625,0.875,0.125,0.375,1.0
parkinsons_biomedical_voice_measurements-44c2da69ace1,1.0,0.75,0.125,0.5,0.375,0.875,0.0,0.25,0.625
physiochemical_protein-d68ec1dd11a4,1.0,0.75,0.875,0.375,0.625,0.5,0.125,0.25,0.0
polish_companies_bankruptcy-c6e7be38cb09,1.0,0.75,0.875,0.375,0.625,0.5,0.25,0.125,0.0
porto_seguro-7894967113f3,0.75,0.875,1.0,0.0,0.5,0.375,0.125,0.25,0.625
predict_students_dropout_and_academic_su-60806510bdda,0.75,1.0,0.875,0.375,0.125,0.625,0.25,0.5,0.0
prostate_cancer_detection-d59b58af2363,0.875,0.5,0.125,0.375,0.0,0.625,0.25,0.75,1.0
pva_revenue_prediction_kddcup98-94a4b79d0042,1.0,0.75,0.625,0.25,0.0,0.125,0.375,0.5,0.875
qsar_aquatic_toxicity-96e503f00d74,1.0,0.625,0.25,0.375,0.875,0.75,0.125,0.5,0.0
qsar_biodeg-99edbe20f66b,1.0,0.875,0.25,0.75,0.5,0.625,0.375,0.125,0.0
qsar_fish_toxicity-7d92081eed10,1.0,0.625,0.25,0.375,0.75,0.5,0.125,0.875,0.0
qsar_tid_11-34170685abe8,1.0,0.75,0.625,0.5,0.125,0.25,0.0,0.375,0.875
regensburg_pediatric_appendicitis-e7c24901d0c7,0.875,0.25,0.5,0.625,0.125,0.75,0.375,1.0,0.0
rossmann_store_sales-7f007635f770,0.875,0.625,0.75,0.25,0.125,0.375,0.0,0.5,1.0
santander_customer_satisfaction-504299481d76,0.875,0.625,0.75,0.5,0.375,0.25,0.125,0.0,1.0
santander_customer_transaction_predictio-23a97d4b68f1,0.875,1.0,0.75,0.125,0.0,0.25,0.375,0.5,0.625
santander_transaction_value-46443292502e,1.0,0.25,0.625,0.5,0.375,0.125,0.75,0.875,0.0
sat11_hand_algo_runtime-cda3af888024,1.0,0.75,0.125,0.25,0.0,0.5,0.625,0.375,0.875
sberbank_housing_market_forecasting-54316cfd1a18,0.75,0.875,0.625,0.375,0.25,0.125,0.0,0.5,1.0
