case_id,winner,competitor,expected_finite,observed_finite,expected_radius_tv,observed_radius_tv,absolute_difference,status
tabarena_primary14__rank__equal,REALMLP (tuned + ensemble),XGB (tuned + ensemble),True,True,0.1454248366013072,0.14542483660130717,2.7755575615628914e-17,PASS
tabarena_primary14__rank__equal,REALMLP (tuned + ensemble),XT (tuned + ensemble),True,True,0.3095238095238095,0.30952380952380937,1.1102230246251565e-16,PASS
benchpress_primary10__rank__equal,claude-opus-4.6,claude-opus-4.5,True,True,0.4696969696969698,0.46969696969696956,2.220446049250313e-16,PASS
benchpress_primary10__rank__equal,claude-opus-4.6,claude-sonnet-4.5,False,False,inf,inf,0.0,PASS
benchpress_primary10__rank__equal,claude-opus-4.6,deepseek-v3.2,False,False,inf,inf,0.0,PASS
benchpress_primary10__rank__equal,claude-opus-4.6,doubao-seed-2.0-pro,True,True,0.390909090909091,0.3909090909090908,1.6653345369377348e-16,PASS
benchpress_primary10__rank__equal,claude-opus-4.6,gemini-2.5-pro,False,False,inf,inf,0.0,PASS
benchpress_primary10__rank__equal,claude-opus-4.6,gemini-3-pro,True,True,0.2575757575757575,0.25757575757575757,5.551115123125783e-17,PASS
benchpress_primary10__rank__equal,claude-opus-4.6,gpt-5,False,False,inf,inf,0.0,PASS
benchpress_primary10__rank__equal,claude-opus-4.6,gpt-5.2,True,True,0.0909090909090908,0.0909090909090909,9.71445146547012e-17,PASS
benchpress_primary10__rank__equal,claude-opus-4.6,kimi-k2.5,True,True,0.625,0.625,0.0,PASS
